2021,5,8,1
2022,5,6,1
2023,5,3,1
2024,5,1,1
2021,4,29,2
2022,4,26,2
2023,4,25,2
2024,4,24,2
2021,5,6,3
2022,4,27,3
2023,4,28,3
2024,4,28,3
2021,4,22,4
2022,4,23,4
2023,4,15,4
2024,4,18,4
2021,4,24,5
2022,4,22,5
2023,4,20,5
2024,4,23,5
2021,5,8,6
2022,5,8,6
2023,5,1,6
2024,5,3,6
2021,4,27,7
2022,4,25,7
2023,4,21,7
2024,4,26,7
2021,4,20,8
2022,4,21,8
2023,4,14,8
2024,4,18,8
2021,4,13,9
2022,4,16,9
2023,4,7,9
2024,4,15,9
2021,4,4,10
2022,4,12,10
2023,4,4,10
2024,4,10,10
2021,4,9,11
2022,4,14,11
2023,4,3,11
2024,4,12,11
2021,4,2,12
2022,4,11,12
2023,3,31,12
2024,4,7,12
2021,3,28,13
2022,4,8,13
2023,3,26,13
2024,4,2,13
2021,3,25,14
2022,4,4,14
2023,3,24,14
2024,4,3,14
2021,3,29,15
2022,4,8,15
2023,3,27,15
2024,4,6,15
2021,3,23,16
2022,3,30,16
2023,3,23,16
2024,4,1,16
2021,3,24,17
2022,4,1,17
2023,3,22,17
2024,4,2,17
2021,3,29,18
2022,4,9,18
2023,3,28,18
2024,4,8,18
2021,3,20,19
2022,3,27,19
2023,3,20,19
2024,3,31,19
2021,3,22,20
2022,3,31,20
2023,3,22,20
2024,4,1,20
2021,3,21,21
2022,3,27,21
2023,3,18,21
2024,3,31,21
2021,3,19,22
2022,3,24,22
2023,3,17,22
2024,3,31,22
2021,3,20,23
2022,3,30,23
2023,3,20,23
2024,3,31,23
2021,3,16,24
2022,3,21,24
2023,3,16,24
2024,3,27,24
2021,3,17,25
2022,3,22,25
2023,3,17,25
2024,3,28,25
2021,3,18,26
2022,3,21,26
2023,3,17,26
2024,3,29,26
2021,3,22,27
2022,3,27,27
2023,3,22,27
2024,4,1,27
2021,3,20,28
2022,3,26,28
2023,3,22,28
2024,3,30,28
2021,3,20,29
2022,3,21,29
2023,3,19,29
2024,3,30,29
2021,3,14,30
2022,3,20,30
2023,3,14,30
2024,3,29,30
2021,3,17,31
2022,3,21,31
2023,3,15,31
2024,4,1,31
2021,3,14,32
2022,3,26,32
2023,3,20,32
2024,3,28,32
2021,3,19,33
2022,3,27,33
2023,3,19,33
2024,3,29,33
2021,3,16,34
2022,3,24,34
2023,3,17,34
2024,3,29,34
2021,3,22,35
2022,3,31,35
2023,3,23,35
2024,4,2,35
2021,3,11,36
2022,3,21,36
2023,3,19,36
2024,3,25,36
2021,3,20,37
2022,3,26,37
2023,3,22,37
2024,3,30,37
2021,3,24,38
2022,3,25,38
2023,3,24,38
2024,4,1,38
2021,3,19,39
2022,3,23,39
2023,3,19,39
2024,3,30,39
2021,3,18,40
2022,3,24,40
2023,3,20,40
2024,3,30,40
2021,3,21,41
2022,3,25,41
2023,3,20,41
2024,3,31,41
2021,3,15,42
2022,3,21,42
2023,3,18,42
2024,3,27,42
2021,3,15,43
2022,3,24,43
2023,3,22,43
2024,3,29,43
2021,3,15,44
2022,3,19,44
2023,3,17,44
2024,3,23,44
2021,3,25,45
2022,3,25,45
2023,3,23,45
2024,4,1,45
2021,3,16,46
2022,3,25,46
2023,3,22,46
2024,3,29,46
2021,3,12,47
2022,3,17,47
2023,3,18,47
2024,3,27,47
2021,3,17,48
2022,3,19,48
2023,3,22,48
2024,3,29,48
2021,3,18,49
2022,3,23,49
2023,3,24,49
2024,3,30,49
2021,3,14,50
2022,3,22,50
2023,3,21,50
2024,3,26,50
2021,3,17,51
2022,3,20,51
2023,3,22,51
2024,3,26,51
2021,3,17,52
2022,3,20,52
2023,3,24,52
2024,3,29,52
2021,3,16,53
2022,3,18,53
2023,3,19,53
2024,3,25,53
2021,1,25,54
2022,1,18,54
2023,1,20,54
2024,1,17,54
2021,1,27,55
2022,1,27,55
2023,2,3,55
2024,1,22,55
2021,1,16,56
2022,1,19,56
2023,1,15,56
2024,1,5,56
2021,1,4,57
2022,1,11,57
2023,1,7,57
2024,1,13,57
